Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
85,Alwar,Wheat,FAQ,2725,2781,2771,30-10-2024
86,Alwar,Wheat,FAQ,2740,2767,2755,24-10-2024
87,Alwar,Wheat,FAQ,2740,2785,2765,21-10-2024
88,Alwar,Wheat,FAQ,2250,2400,2350,21-05-2024
89,Alwar,Wheat,FAQ,2270,2352,2325,03-04-2024
90,Alwar,Wheat,FAQ,2920,2951,2940,30-12-2024
91,Alwar,Wheat,FAQ,2370,2440,2400,16-03-2024
92,Alwar,Wheat,FAQ,2680,2705,2695,11-10-2024
93,Alwar,Wheat,FAQ,2449,2461,2455,20-07-2024
94,Alwar,Wheat,FAQ,2425,2497,2485,15-06-2024
95,Alwar,Wheat,FAQ,2518,2592,2584,23-08-2024
96,Alwar,Wheat,FAQ,2200,2400,2325,28-02-2024
97,Alwar,Wheat,FAQ,2230,2350,2250,17-04-2024
98,Alwar,Wheat,FAQ,2540,2604,2595,16-09-2024
99,Alwar,Wheat,FAQ,2400,2425,2420,08-03-2024
100,Alwar,Wheat,FAQ,2425,2460,2440,05-03-2024
101,Alwar,Wheat,FAQ,2315,2362,2350,18-05-2024
102,Alwar,Wheat,FAQ,2380,2480,2400,21-02-2024
103,Alwar,Wheat,FAQ,2455,2474,2467,22-07-2024
104,Alwar,Wheat,FAQ,2260,2330,2285,20-04-2024
105,Alwar,Wheat,FAQ,2625,2690,2675,23-09-2024
106,Alwar,Wheat,FAQ,2860,2885,2873,19-11-2024
107,Alwar,Wheat,FAQ,2352,2386,2375,08-01-2024
108,Alwar,Wheat,FAQ,2595,2620,2607,19-09-2024
109,Alwar,Wheat,FAQ,2825,2865,2845,06-12-2024
110,Alwar,Wheat,FAQ,2430,2461,2451,27-06-2024
111,Alwar,Wheat,FAQ,2660,2700,2690,08-10-2024
112,Alwar,Wheat,FAQ,2800,2835,2825,28-11-2024
113,Alwar,Wheat,FAQ,2220,2325,2270,12-04-2024
114,Alwar,Wheat,FAQ,2432,2468,2462,06-07-2024
115,Alwar,Wheat,FAQ,2150,2325,2272,25-04-2024
116,Alwar,Wheat,FAQ,2411,2545,2450,25-05-2024
117,Alwar,Wheat,FAQ,2452,2464,2461,13-06-2024
118,Alwar,Wheat,FAQ,2600,2715,2705,10-10-2024
119,Alwar,Wheat,FAQ,2451,2476,2470,17-06-2024
120,Alwar,Wheat,FAQ,2315,2425,2335,04-05-2024
121,Alwar,Wheat,FAQ,2425,2425,2425,07-03-2024
122,Alwar,Wheat,FAQ,2436,2459,2450,12-06-2024
123,Alwar,Wheat,FAQ,2785,2848,2835,21-11-2024
124,Alwar,Wheat,FAQ,2825,2890,2865,18-11-2024
125,Alwar,Wheat,FAQ,2925,2936,2935,27-12-2024
126,Alwar,Wheat,FAQ,2311,2525,2430,12-01-2024
127,Alwar,Wheat,FAQ,2410,2525,2450,11-01-2024
128,Alwar,Wheat,FAQ,2560,2587,2577,30-08-2024
129,Alwar,Wheat,FAQ,2280,2385,2370,18-03-2024
130,Alwar,Wheat,FAQ,2750,2810,2802,04-11-2024
131,Alwar,Wheat,FAQ,2225,2300,2265,22-04-2024
132,Alwar,Wheat,FAQ,2400,2435,2420,01-06-2024
133,Alwar,Wheat,FAQ,2400,2441,2425,30-05-2024
134,Alwar,Wheat,FAQ,2537,2560,2549,12-08-2024
135,Alwar,Wheat,FAQ,2455,2469,2461,13-07-2024
136,Alwar,Wheat,FAQ,2305,2401,2335,05-04-2024
137,Alwar,Wheat,FAQ,2690,2716,2705,09-10-2024
138,Alwar,Wheat,FAQ,2295,2372,2325,10-05-2024
139,Alwar,Wheat,FAQ,2781,2800,2800,04-12-2024
140,Alwar,Wheat,FAQ,2382,2401,2392,06-02-2024
141,Alwar,Wheat,FAQ,2828,2885,2845,05-11-2024
142,Alwar,Wheat,FAQ,2600,2650,2640,20-09-2024
143,Alwar,Wheat,FAQ,2430,2500,2440,12-03-2024
144,Alwar,Wheat,FAQ,2455,2465,2460,05-07-2024
145,Alwar,Wheat,FAQ,2525,2575,2568,03-09-2024
146,Alwar,Wheat,FAQ,2400,2433,2425,07-06-2024
147,Alwar,Wheat,FAQ,2350,2405,2375,22-03-2024
148,Alwar,Wheat,FAQ,2220,2350,2265,23-04-2024
149,Alwar,Wheat,FAQ,2550,2592,2586,09-09-2024
150,Alwar,Wheat,FAQ,2710,2806,2740,29-11-2024
151,Alwar,Wheat,FAQ,2870,2884,2884,21-12-2024
152,Alwar,Wheat,FAQ,2350,2431,2400,07-02-2024
153,Alwar,Wheat,FAQ,2300,2433,2340,27-04-2024
154,Alwar,Wheat,FAQ,2400,2410,2405,04-06-2024
155,Alwar,Wheat,FAQ,2350,2490,2465,05-08-2024
156,Alwar,Wheat,FAQ,2410,2464,2455,26-06-2024
157,Alwar,Wheat,FAQ,2400,2467,2431,04-03-2024
158,Alwar,Wheat,FAQ,2400,2600,2530,27-01-2024
159,Alwar,Wheat,FAQ,2236,2390,2350,23-02-2024
160,Alwar,Wheat,FAQ,2447,2460,2455,03-07-2024
161,Alwar,Wheat,FAQ,2430,2462,2458,23-07-2024
162,Alwar,Wheat,FAQ,2381,2490,2480,22-06-2024
163,Alwar,Wheat,FAQ,2640,2705,2695,07-10-2024
164,Alwar,Wheat,FAQ,2210,2325,2300,06-01-2024
165,Alwar,Wheat,FAQ,2445,2468,2464,01-07-2024
166,Alwar,Wheat,FAQ,2430,2465,2455,30-07-2024
167,Alwar,Wheat,FAQ,2300,2380,2370,13-02-2024
168,Alwar,Wheat,FAQ,2566,2598,2589,10-09-2024
169,Alwar,Wheat,FAQ,2400,2455,2445,08-06-2024
170,Alwar,Wheat,FAQ,2725,2800,2800,03-12-2024
171,Alwar,Wheat,FAQ,2541,2578,2568,31-08-2024
172,Alwar,Wheat,FAQ,2200,2340,2327,13-05-2024
173,Alwar,Wheat,FAQ,2340,2455,2365,16-05-2024
174,Alwar,Wheat,FAQ,2750,2775,2760,02-12-2024
175,Alwar,Wheat,FAQ,2445,2465,2461,31-07-2024
176,Alwar,Wheat,FAQ,2590,2605,2600,18-09-2024
177,Alwar,Wheat,FAQ,2700,2900,2780,23-11-2024
178,Alwar,Wheat,FAQ,2370,2450,2380,05-02-2024
179,Alwar,Wheat,FAQ,2550,2590,2583,05-09-2024
180,Alwar,Wheat,FAQ,2410,2585,2575,24-08-2024
181,Alwar,Wheat,FAQ,2450,2488,2462,28-06-2024
182,Alwar,Wheat,FAQ,2600,2711,2705,14-10-2024
183,Alwar,Wheat,FAQ,2291,2461,2370,26-03-2024
184,Alwar,Wheat,FAQ,2310,2376,2355,30-03-2024
185,Alwar,Wheat,FAQ,2810,2853,2845,14-12-2024
186,Alwar,Wheat,FAQ,2685,2697,2693,27-09-2024
187,Alwar,Wheat,FAQ,2325,2426,2380,12-02-2024
188,Alwar,Wheat,FAQ,2450,2468,2461,29-07-2024
189,Alwar,Wheat,FAQ,2270,2372,2285,11-04-2024
190,Alwar,Wheat,FAQ,2280,2371,2360,17-05-2024
191,Alwar,Wheat,FAQ,2225,2425,2340,28-03-2024
192,Alwar,Wheat,FAQ,2600,2665,2650,21-09-2024
193,Alwar,Wheat,FAQ,2700,2775,2755,25-10-2024
194,Alwar,Wheat,FAQ,2260,2427,2350,04-01-2024
195,Alwar,Wheat,FAQ,2900,2905,2900,23-12-2024
196,Alwar,Wheat,FAQ,2645,2675,2665,26-09-2024
197,Alwar,Wheat,FAQ,2520,2538,2531,10-08-2024
198,Alwar,Wheat,FAQ,2325,2440,2385,19-01-2024
199,Alwar,Wheat,FAQ,2921,3020,2921,25-12-2024
200,Alwar,Wheat,FAQ,2750,2767,2760,30-11-2024
201,Alwar,Wheat,FAQ,2250,2400,2350,16-02-2024
202,Alwar,Wheat,FAQ,2410,2423,2420,24-05-2024
203,Alwar,Wheat,FAQ,2325,2375,2355,29-03-2024
204,Alwar,Wheat,FAQ,2380,2440,2415,13-01-2024
205,Alwar,Wheat,FAQ,2260,2325,2295,06-04-2024
206,Alwar,Wheat,FAQ,2445,2462,2458,19-07-2024
207,Alwar,Wheat,FAQ,2400,2440,2425,06-03-2024
208,Alwar,Wheat,FAQ,2665,2719,2705,16-10-2024
209,Alwar,Wheat,FAQ,2360,2410,2390,31-01-2024
210,Alwar,Wheat,FAQ,2256,2341,2271,24-04-2024
211,Alwar,Wheat,FAQ,2425,2500,2465,24-06-2024
212,Alwar,Wheat,FAQ,2580,2598,2591,13-09-2024
213,Alwar,Wheat,FAQ,2350,2425,2415,09-03-2024
214,Alwar,Wheat,FAQ,2330,2460,2448,27-05-2024
215,Alwar,Wheat,FAQ,2491,2491,2491,07-08-2024
216,Alwar,Wheat,FAQ,2850,2875,2865,20-11-2024
217,Alwar,Wheat,FAQ,2525,2593,2585,06-09-2024
218,Alwar,Wheat,FAQ,2825,2850,2843,10-12-2024
219,Alwar,Wheat,FAQ,2840,2875,2861,11-12-2024
220,Alwar,Wheat,FAQ,2464,2481,2474,20-06-2024
221,Alwar,Wheat,FAQ,2325,2400,2345,02-05-2024
222,Alwar,Wheat,FAQ,2474,2587,2562,22-08-2024
223,Alwar,Wheat,FAQ,2870,2880,2875,07-11-2024
224,Alwar,Wheat,FAQ,2705,2784,2770,29-10-2024
225,Alwar,Wheat,FAQ,2685,2700,2695,04-10-2024
226,Alwar,Wheat,FAQ,2670,2695,2685,05-10-2024
227,Alwar,Wheat,FAQ,2275,2400,2345,30-04-2024
228,Alwar,Wheat,FAQ,2800,2866,2846,19-12-2024
229,Alwar,Wheat,FAQ,2575,2595,2586,07-09-2024
230,Alwar,Wheat,FAQ,2465,2470,2468,29-06-2024
231,Alwar,Wheat,FAQ,2380,2468,2405,23-03-2024
232,Alwar,Wheat,FAQ,2435,2458,2452,26-07-2024
233,Alwar,Wheat,FAQ,2390,2425,2409,05-06-2024
234,Alwar,Wheat,FAQ,2355,2400,2379,14-02-2024
235,Alwar,Wheat,FAQ,2380,2380,2380,02-03-2024
236,Alwar,Wheat,FAQ,2420,2426,2422,11-03-2024
237,Alwar,Wheat,FAQ,2460,2469,2464,03-08-2024
238,Alwar,Wheat,FAQ,2470,2480,2476,10-07-2024
239,Alwar,Wheat,FAQ,2200,2319,2310,08-05-2024
240,Alwar,Wheat,FAQ,2225,2360,2300,29-02-2024
241,Alwar,Wheat,FAQ,2325,2430,2380,24-01-2024
242,Alwar,Wheat,FAQ,2625,2730,2721,03-10-2024
243,Alwar,Wheat,FAQ,2790,2865,2862,17-12-2024
244,Alwar,Wheat,FAQ,2459,2481,2475,21-06-2024
245,Alwar,Wheat,FAQ,2540,2560,2550,27-08-2024
246,Alwar,Wheat,FAQ,2545,2576,2572,04-09-2024
247,Alwar,Wheat,FAQ,2699,2708,2704,15-10-2024
248,Alwar,Wheat,FAQ,2375,2500,2410,10-02-2024
249,Alwar,Wheat,FAQ,2560,2585,2569,02-09-2024
250,Alwar,Wheat,FAQ,2600,2885,2860,09-12-2024
251,Alwar,Wheat,FAQ,2360,2381,2371,23-01-2024
252,Alwar,Wheat,FAQ,2385,2409,2404,03-06-2024
253,Alwar,Wheat,FAQ,2321,2500,2365,03-01-2024
254,Alwar,Wheat,FAQ,2340,2411,2380,23-05-2024
255,Alwar,Wheat,FAQ,2466,2480,2475,16-07-2024
256,Alwar,Wheat,FAQ,2270,2280,2275,20-02-2024
257,Alwar,Wheat,FAQ,2360,2400,2380,19-03-2024
258,Alwar,Wheat,FAQ,2400,2450,2430,31-05-2024
259,Alwar,Wheat,FAQ,2736,2773,2755,26-10-2024
260,Alwar,Wheat,FAQ,2370,2370,2370,01-02-2024
261,Alwar,Wheat,FAQ,2510,2598,2591,14-09-2024
262,Alwar,Wheat,FAQ,2445,2474,2466,19-06-2024
263,Alwar,Wheat,FAQ,2240,2409,2335,06-05-2024
264,Alwar,Wheat,FAQ,2410,2466,2451,28-05-2024
265,Alwar,Wheat,FAQ,2400,2440,2425,13-03-2024
266,Alwar,Wheat,FAQ,2710,2730,2724,30-09-2024
267,Alwar,Wheat,FAQ,2847,2861,2855,12-11-2024
268,Alwar,Wheat,FAQ,2849,2855,2855,13-12-2024
269,Alwar,Wheat,FAQ,2400,2470,2463,10-06-2024
270,Alwar,Wheat,FAQ,2630,2724,2715,17-10-2024
271,Alwar,Wheat,FAQ,2831,2885,2870,06-11-2024
272,Alwar,Wheat,FAQ,2285,2310,2300,07-05-2024
