Sl no.,Centre Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
87,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,12-03-2024
88,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,20-03-2024
89,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,30-03-2024
90,Shimoga,Shimoga,Jowar(Sorghum),4000,5200,4600,13-05-2024
91,Shimoga,Shimoga,Jowar(Sorghum),4100,5500,4800,02-02-2024
92,Shimoga,Shimoga,Jowar(Sorghum),4200,5600,4900,22-02-2024
93,Shimoga,Shimoga,Jowar(Sorghum),4500,5200,4850,19-01-2024
94,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4750,04-01-2024
95,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4750,06-01-2024
96,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4750,10-01-2024
97,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4950,01-01-2024
98,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4950,03-01-2024
99,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,4950,09-02-2024
100,Shimoga,Shimoga,Jowar(Sorghum),4500,5400,5000,02-01-2024
101,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,4750,12-01-2024
102,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,4950,05-01-2024
103,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,5000,01-02-2024
104,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,5000,11-01-2024
105,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,5000,16-01-2024
106,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,5000,29-01-2024
107,Shimoga,Shimoga,Jowar(Sorghum),4500,5500,5000,31-01-2024
